id;province_id;name;en_name
161; 14;  خدابنده;
162; 14;  خرمدره;
163; 14;  زنجان;
164; 14;  طارم;
165; 14;  ماه نشان;
166; 15;  دامغان;
167; 15;  سمنان;
168; 15;  شاهرود;
169; 15;  گرمسار;
170; 15;  مهدی شهر;
171; 16;  ایرانشهر;
172; 16;  چابهار;
173; 16;  خاش;
174; 16;  دلگان;
175; 16;  زابل;
176; 16;  زاهدان;
177; 16;  زهک;
178; 16;  سراوان;
179; 16;  سرباز;
180; 16;  کنارک;
181; 16;  نیکشهر;
182; 17;  آباده;
183; 17;  ارسنجان;
184; 17;  استهبان;
185; 17;  اقلید;
186; 17;  بوانات;
187; 17;  پاسارگاد;
188; 17;  جهرم;
189; 17;  خرم بید;
190; 17;  خنج;
191; 17;  داراب;
192; 17;  زرین دشت;
193; 17;  سپیدان;
194; 17;  شیراز;
195; 17;  فراشبند;
196; 17;  فسا;
197; 17;  فیروزآباد;
198; 17;  قیر و کارزین;
199; 17;  کازرون;
200; 17;  لارستان;
201; 17;  لامرد;
202; 17;  مرودشت;
203; 17;  ممسنی;
204; 17;  مهر;
205; 17;  نی ریز;
206; 18;  آبیک;
207; 18;  البرز;
208; 18;  بوئین زهرا;
209; 18;  تاکستان;
210; 18;  قزوین;
211; 19;  قم;
212; 20;  بانه;
213; 20;  بیجار;
214; 20;  دیواندره;
215; 20;  سروآباد;
216; 20;  سقز;
217; 20;  سنندج;
218; 20;  قروه;
219; 20;  کامیاران;
220; 20;  مریوان;
221; 21;  بافت;
222; 21;  بردسیر;
223; 21;  بم;
224; 21;  جیرفت;
225; 21;  راور;
226; 21;  رفسنجان;
227; 21;  رودبار جنوب;
228; 21;  زرند;
229; 21;  سیرجان;
230; 21;  شهر بابک;
231; 21;  عنبرآباد;
232; 21;  قلعه گنج;
233; 21;  کرمان;
234; 21;  کوهبنان;
235; 21;  کهنوج;
236; 21;  منوجان;
237; 22;  اسلام آباد غرب;
238; 22;  پاوه;
239; 22;  ثلاث باباجانی;
240; 22;  جوانرود;
241; 22;  دالاهو;
242; 22;  روانسر;
243; 22;  سرپل ذهاب;
244; 22;  سنقر;
245; 22;  صحنه;
246; 22;  قصر شیرین;
247; 22;  کرمانشاه;
248; 22;  کنگاور;
249; 22;  گیلان غرب;
250; 22;  هرسین;
251; 23;  بویر احمد;
252; 23;بهمئی;
253; 23;  دنا;
254; 23;کهگیلویه;
255; 23;  گچساران;
256; 24;  آزادشهر;
257; 24;  آق قلا;
258; 24;  بندر گز;
259; 24;  بندر ترکمن;
260; 24;  رامیان;
261; 24;  علی آباد;
262; 24;  کرد کوی;
263; 24;  کلاله;
264; 24;  گرگان;
265; 24;  گنبد کاووس;
266; 24;  مینو دشت;
267; 25;  آستارا;
268; 25;  آستانه اشرفیه;
269; 25;  املش;
270; 25;  بندر انزلی;
271; 25;  رشت;
272; 25;  رضوانشهر;
273; 25;  رودبار;
274; 25;  رودسر;
275; 25;  سیاهکل;
276; 25;  شفت;
277; 25;  صومعه سرا;
278; 25;  طوالش;
279; 25;  فومن;
280; 25;  لاهیجان;
281; 25;  لنگرود;
282; 25;  ماسال;
283; 26;  ازنا;
284; 26;  الیگودرز;
285; 26;  بروجرد;
286; 26;  پلدختر;
287; 26;  خرم آباد;
288; 26;  دورود;
289; 17;  لامرد;
290; 17;  مرودشت;
291; 17;  ممسنی;
292; 17;  مهر;
293; 17;  نی ریز;
294; 18;  آبیک;
295; 18;  البرز;
296; 18;  بوئین زهرا;
297; 18;  تاکستان;
298; 18;  قزوین;
299; 19;  قم;
300; 20;  بانه;
301; 20;  بیجار;
302; 20;  دیواندره;
303; 20;  سروآباد;
304; 20;  سقز;
305; 20;  سنندج;
306; 20;  قروه;
307; 20;  کامیاران;
308; 20;  مریوان;
309; 21;  بافت;
310; 21;  بردسیر;
311; 21;  بم;
312; 21;  جیرفت;
313; 21;  راور;
314; 21;  رفسنجان;
315; 21;  رودبار جنوب;
316; 21;  زرند;
317; 21;  سیرجان;
318; 21;  شهر بابک;
319; 21;  عنبرآباد;
320; 21;  قلعه گنج;
321; 21;  کرمان;
322; 21;  کوهبنان;
323; 21;  کهنوج;
324; 21;  منوجان;
325; 22;  اسلام آباد غرب;
326; 22;  پاوه;
327; 22;  ثلاث باباجانی;
328; 22;  جوانرود;
329; 22;  دالاهو;
330; 22;  روانسر;
332; 22;  سنقر;
333; 22;  صحنه;
334; 22;  قصر شیرین;
335; 22;  کرمانشاه;
336; 22;  کنگاور;
337; 22;  گیلان غرب;
338; 22;  هرسین;
339; 23;  بویر احمد;
341; 23;  دنا;
343; 23;  گچساران;
344; 24;  آزادشهر;
345; 24;  آق قلا;
346; 24;  بندر گز;
347; 24;  بندر ترکمن;
348; 24;  رامیان;
349; 24;  علی آباد;
350; 24;  کرد کوی;
351; 24;  کلاله;
352; 24;  گرگان;
353; 24;  گنبد کاووس;
354; 24;  مینو دشت;
355; 25;  آستارا;
356; 25;  آستانه اشرفیه;
357; 25;  املش;
358; 25;  بندر انزلی;
359; 25;  رشت;
360; 25;  رضوانشهر;
361; 25;  رودبار;
362; 25;  رودسر;
363; 25;  سیاهکل;
364; 25;  شفت;
365; 25;  صومعه سرا;
366; 25;  طوالش;
367; 25;  فومن;
368; 25;  لاهیجان;
369; 25;  لنگرود;
370; 25;  ماسال;
371; 26;  ازنا;
372; 26;  الیگودرز;
373; 26;  بروجرد;
374; 26;  پلدختر;
375; 26;  خرم آباد;
376; 26;  دورود;
377; 26;  دلفان;
378; 26;  سلسله;
379; 26;  کوهدشت;
380; 26;  الشتر;
381; 26;  نورآباد;
382; 27;  آمل;
383; 27;  بابل;
384; 27;  بابلسر;
385; 27;  بهشهر;
386; 27;  تنکابن;
387; 27;  جویبار;
388; 27;  چالوس;
389; 27;  رامسر;
390; 27;  ساری;
391; 27;  سوادکوه;
392; 27;  قائم شهر;
393; 27;  گلوگاه;
394; 27;  محمود آباد;
395; 27;  نکا;
396; 27;  نور;
397; 27;  نوشهر;
398; 27;  فریدونکنار;
399; 28;  آشتیان;
400; 28;  اراک;
401; 28;  تفرش;
402; 28;  خمین;
403; 28;  دلیجان;
404; 28;  زرندیه;
405; 28;  ساوه;
406; 28;  شازند;
407; 28;  کمیجان;
408; 28;  محلات;
409; 29;  بندرعباس;
410; 29;  میناب;
411; 29;  بندر لنگه;
412; 29;  رودان-دهبارز;
413; 29;  جاسک;
414; 29;  قشم;
415; 29;  حاجی آباد;
416; 29;  ابوموسی;
417; 29;  بستک;
418; 29;  گاوبندی;
419; 29;  خمیر;
420; 30;  اسدآباد;
421; 30;  بهار;
422; 30;  تویسرکان;
423; 30;  رزن;
424; 30;  کبودر آهنگ;
425; 30;  ملایر;
426; 30;  نهاوند;
427; 30;  همدان;
428; 31;  ابرکوه;
429; 31;  اردکان;
430; 31;  بافق;
431; 31;  تفت;
432; 31;  خاتم;
433; 31;  صدوق;
434; 31;  طبس;
435; 31;  مهریز;
436; 31;  میبد;
437; 31;  یزد;
438; 8; قرچک;
439; 8; گلستان;
440; 8; قدس;
441; 8; ملارد;
442; 8; نسیم‌شهر;
443; 8; اندیشه;
444; 8; صالح‌آباد;
445; 8; باقرشهر;
446; 8; باغستان;
447; 8; بومهن;
448; 8; چهاردانگه;
449; 8; پیشوا;
450; 8; پردیس;
451; 8; وحیدیه;
452; 8; نصیرآباد;
453; 8; فردوسیه;
454; 8; حسن‌آباد;
455; 8; رودهن;
456; 8; شاهدشهر;
457; 8; صباشهر;
458; 8; صفادشت;
459; 8; لواسان;
460; 8; آبسرد;
461; 8; شریف‌آباد;
462; 8; کهریزک;
463; 8; فشم;
464; 8;جوادآباد;
465; 8; کیلان;
466; 8; آبعلی;
467; 8; ارجمند;
468; 29; کیش;
469; 29; لاوان;
470; 29; پارسیان;
471; 29; سیریک;
472; 29; بشاگرد;
